product_id,product_name,department_id,description,price,image_url
503,Wild Rice Blend,10,Wild Blend Rice,8.22,https://images.openfoodfacts.org/images/products/007/341/600/4306/front_en.30.400.jpg
1000,Apricots,10,dried apricots mirsan,9.83,https://images.openfoodfacts.org/images/products/506/008/870/6534/front_en.49.400.jpg
5161,Dried Mango,10,Dried Mango,8.5,https://images.openfoodfacts.org/images/products/000/002/041/2074/front_en.53.400.jpg
6194,Organic Red Kidney Beans,10,Organic red kidney beans in water,14.96,https://images.openfoodfacts.org/images/products/505/775/389/8397/front_en.3.400.jpg
6455,Organic Magic Muesli,10,Quality organic magic muesli - fresh grocery product,8.14,https://via.placeholder.com/300x300?text=No+Image
7314,Organic Quick Rolled Oats,10,Organics Biologique,11.16,https://images.openfoodfacts.org/images/products/006/038/369/0229/front_en.38.400.jpg
10224,Organic Hunza Golden Raisins,10,Quality organic hunza golden raisins - fresh grocery product,13.13,https://via.placeholder.com/300x300?text=No+Image
10540,Whole Medjool Dates,10,Dátil Medjoul Con Hueso,10.17,https://images.openfoodfacts.org/images/products/405/648/920/2868/front_en.35.400.jpg
10915,Organic Short Brown Sprouted Rice,10,Organic Sprouted Short Brown Rice,9.15,https://images.openfoodfacts.org/images/products/007/341/600/3552/front_en.6.400.jpg
11325,Organic Hemp Plus Granola,10,Organic Trail Mix Sunny Hemp Plus Granola Bar,11.22,https://via.placeholder.com/300x300?text=No+Image
12699,Super Nutty Granola,10,Super Seedy & Nutty Granola,2.7,https://images.openfoodfacts.org/images/products/507/000/012/6579/front_en.17.400.jpg
14611,Turkish Apricots,10,Turkish apricots,12.27,https://via.placeholder.com/300x300?text=No+Image
14665,Organic White Popcorn,10,Organic Popcorn Himalayan Gold,12.99,https://images.openfoodfacts.org/images/products/085/004/594/7576/front_en.41.400.jpg
14985,Organic Raspberry Muesli,10,Protein Müsli,2.61,https://images.openfoodfacts.org/images/products/426/037/684/8088/front_de.3.400.jpg
19066,Organic Wheat Bran,10,Weizen Kleie,3.28,https://images.openfoodfacts.org/images/products/410/442/001/4558/front_de.5.400.jpg
19628,Organic Blueberries Package,10,Quality organic blueberries package - fresh grocery product,8.87,https://via.placeholder.com/300x300?text=No+Image
22260,Organic Rolled Oats,10,Flocons d'avoine,3.15,https://images.openfoodfacts.org/images/products/322/982/001/9307/front_fr.300.400.jpg
22827,Organic Black Mission Figs,10,Organic Black Mission Figs,14.21,https://via.placeholder.com/300x300?text=No+Image
23038,Organic Mung Beans,10,Edamane &mung Bean,5.27,https://images.openfoodfacts.org/images/products/408/860/011/9953/front_en.3.400.jpg
25859,Cranberry Beans,10,"Contains 15 of these varieties: northern, pinto, large lima, yelloweye bean, garbanzo, baby lima, green split pea, kidney, cranberry bean, small white, pink bean, small red, yellow split pea, lentil, ",10.7,https://images.openfoodfacts.org/images/products/000/000/251/1328/front_en.10.400.jpg
27414,Organic Emmer Farro,10,Farro perlato,9.55,https://images.openfoodfacts.org/images/products/406/146/402/0771/front_it.17.400.jpg
28067,Organic Honey Lavender Granola,10,Honey Lavender Granola,8.53,https://images.openfoodfacts.org/images/products/085/530/100/2853/front_en.3.400.jpg
28655,Crystallized Ginger Chunks,10,Crystalized Ginger Chunks,4.11,https://images.openfoodfacts.org/images/products/007/789/049/4479/front_en.3.400.jpg
30365,Vegetable Chips,10,Préparation végétale à base de pois et de fèves,1.04,https://images.openfoodfacts.org/images/products/377/001/616/2098/front_fr.71.400.jpg
32232,Organic Roasted Buckwheat (Kasha),10,Organic roasted buckwheat (kasha),11.64,https://images.openfoodfacts.org/images/products/005/614/200/6059/front_fr.3.400.jpg
38007,Naturally Sweet Plantain Chips,10,Plantain Chips Naturally Sweet,2.27,https://images.openfoodfacts.org/images/products/083/269/700/0595/front_en.34.400.jpg
38613,Large Ataulfo Mango,10,Quality large ataulfo mango - fresh grocery product,12.84,https://via.placeholder.com/300x300?text=No+Image
39653,Organic Split Green Peas,10,Green pea organic penne,9.9,https://images.openfoodfacts.org/images/products/503/272/231/6980/front_en.3.400.jpg
40397,Organic Royal Rainbow Quinoa,10,"Alter Eco, Organic Royal Rainbow Quinoa",3.74,https://via.placeholder.com/300x300?text=No+Image
42091,Pesto Sauce,10,basil pesto,14.28,https://images.openfoodfacts.org/images/products/807/680/951/3753/front_en.347.400.jpg
42134,Israeli Couscous,10,Israeli pearl couscous toasted original,8.19,https://via.placeholder.com/300x300?text=No+Image
43210,Rolled Oats,10,Haferflocken Extra zart,4.22,https://images.openfoodfacts.org/images/products/000/002/000/3166/front_en.457.400.jpg
43578,Madagascar Pink Rice,10,Quality madagascar pink rice - fresh grocery product,1.96,https://via.placeholder.com/300x300?text=No+Image
43769,Organic Pearled Barley,10,90 Second Barley & Lentils,13.57,https://images.openfoodfacts.org/images/products/409/910/015/0254/front_en.3.400.jpg
45682,Organic Turkish Apricots,10,Turkish apricots,13.05,https://via.placeholder.com/300x300?text=No+Image
46889,Organic Brown Basmati Rice,10,Waitrose Duchy Organic Brown Basmati Rice,12.38,https://images.openfoodfacts.org/images/products/500/016/908/6513/front_en.10.400.jpg
47489,Organic Brown Jasmine Rice,10,Organic California Brown Jasmine Rice,14.28,https://images.openfoodfacts.org/images/products/007/341/604/0588/front_en.6.400.jpg
48778,"Fit Super A Juice, Cold Pressed, Carrot/Apple/Ginger",10,"Quality fit super a juice, cold pressed, carrot/apple/ginger - fresh grocery product",14.46,https://via.placeholder.com/300x300?text=No+Image
