product_id,product_name,description,price,image_url
4,Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce,Quality smart ones classic favorites mini rigatoni with vodka cream sauce - fresh grocery product,14.26,https://via.placeholder.com/300x300?text=No+Image
8,Cut Russet Potatoes Steam N' Mash,Steam n' mash cut russet potatoes,12.6,https://images.openfoodfacts.org/images/products/001/312/000/7842/front_en.4.400.jpg
12,Chocolate Fudge Layer Cake,"Daily chef, triple layer chocolate fudge cake",3.05,https://via.placeholder.com/300x300?text=No+Image
18,Pizza for One Suprema  Frozen Pizza,Quality pizza for one suprema  frozen pizza - fresh grocery product,13.38,https://via.placeholder.com/300x300?text=No+Image
30,"Three Cheese Ziti, Marinara with Meatballs","Quality three cheese ziti, marinara with meatballs - fresh grocery product",12.79,https://via.placeholder.com/300x300?text=No+Image
36,Traditional Lasagna with Meat Sauce Savory Italian Recipes,Quality traditional lasagna with meat sauce savory italian recipes - fresh grocery product,7.49,https://via.placeholder.com/300x300?text=No+Image
46,Raisin Cinnamon Bagels 5 count,Cinnamon Raisin Bagel 6 Count,6.62,https://images.openfoodfacts.org/images/products/028/975/900/0008/front_en.3.400.jpg
81,Blakes Chicken Parmesan Dinner,Quality blakes chicken parmesan dinner - fresh grocery product,14.53,https://via.placeholder.com/300x300?text=No+Image
100,Peanut Butter & Strawberry Jam Sandwich,Peanut butter & strawberry jam sandwich,13.68,https://images.openfoodfacts.org/images/products/005/150/004/8184/front_en.10.400.jpg
118,Ground Turkey Chub,Quality ground turkey chub - fresh grocery product,2.59,https://via.placeholder.com/300x300?text=No+Image
128,Organic Wild Blueberries,"Wild Blueberries, Frozen",14.74,https://images.openfoodfacts.org/images/products/006/038/370/9266/front_en.31.400.jpg
130,Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack,Quality vanilla milk chocolate almond ice cream bars multi-pack - fresh grocery product,4.86,https://via.placeholder.com/300x300?text=No+Image
154,"Corn Dogs, Mini, Honey Crunchy Flavor","Quality corn dogs, mini, honey crunchy flavor - fresh grocery product",2.57,https://via.placeholder.com/300x300?text=No+Image
155,Artisan Ciabatta,"Cafe Udi  Llc, Izzio Artisan Bakery",4.87,https://via.placeholder.com/300x300?text=No+Image
162,Organic Mini Homestyle Waffles,"365 everyday value, organic homestyle mini waffles",7.33,https://images.openfoodfacts.org/images/products/009/948/243/6995/front_en.4.400.jpg
178,Vegan Santa Fe Style Flour Tortilla Rolled Tacos,Quality vegan santa fe style flour tortilla rolled tacos - fresh grocery product,8.27,https://via.placeholder.com/300x300?text=No+Image
185,Chicken Nugget Meal,Coq en box Tenders de poulet crusty,14.72,https://images.openfoodfacts.org/images/products/323/089/000/3912/front_fr.41.400.jpg
201,Sloppy Joe,Manwich sloppy joe sauce,4.81,https://images.openfoodfacts.org/images/products/002/700/044/2128/front_en.37.400.jpg
202,Spinach & Feta Pierogi,Pierogi spinach and feta,9.6,https://images.openfoodfacts.org/images/products/086/505/300/0496/front_en.7.400.jpg
206,Roasted Vegetable Soufflé,Roasted Vegetable Souffle,8.19,https://via.placeholder.com/300x300?text=No+Image
232,Blue Bottle Coffee Frozen Bar,Quality blue bottle coffee frozen bar - fresh grocery product,11.57,https://via.placeholder.com/300x300?text=No+Image
241,Shrimp with Pasta & Vegetables,Lean gourmet shrimp with pasta & vegetables,10.69,https://images.openfoodfacts.org/images/products/071/785/410/6283/front_en.5.400.jpg
250,"Authentic Deep Dish, Spinach & Garlic Pizza","Quality authentic deep dish, spinach & garlic pizza - fresh grocery product",13.33,https://via.placeholder.com/300x300?text=No+Image
258,Vegetable Pot Pie,Chicken Vegetable Pot Pie,5.91,https://images.openfoodfacts.org/images/products/006/321/128/3716/front_en.13.400.jpg
261,Organic Southwestern Burrito,"Southwestern with Cheese Burrito, 72% Organic",8.94,https://images.openfoodfacts.org/images/products/004/227/290/0763/front_en.7.400.jpg
267,Triple Chocolate Ripple,Quality triple chocolate ripple - fresh grocery product,12.64,https://via.placeholder.com/300x300?text=No+Image
269,Stuffed Crust Five Cheese Pizza,Weis Five Cheese Stuffed Crust Pizza,7.18,https://via.placeholder.com/300x300?text=No+Image
271,TAI PEI      14OZ.SWEET & SOUR CHKN,Quality tai pei      14oz.sweet & sour chkn - fresh grocery product,5.35,https://via.placeholder.com/300x300?text=No+Image
276,French Vanilla Ice Cream,Breyers French Vanilla Ice Cream,11.76,https://images.openfoodfacts.org/images/products/007/756/725/4382/front_en.7.400.jpg
311,Naturals Savory Turkey Breakfast Sausage,Savory Turkey Breakfast Sausage,7.34,https://images.openfoodfacts.org/images/products/002/531/769/4001/front_en.26.400.jpg
313,Peppermint/Banana Split Variety Pack Frozen Dairy Dessert Cones,Quality peppermint/banana split variety pack frozen dairy dessert cones - fresh grocery product,13.6,https://via.placeholder.com/300x300?text=No+Image
319,Steamfresh Chef's Favorites Lightly Sauced Roasted Red Potatoes & Green Beans,Quality steamfresh chef's favorites lightly sauced roasted red potatoes & green beans - fresh grocery product,2.23,https://via.placeholder.com/300x300?text=No+Image
322,Brooklyn Pizza Dough,Pizza Dough,10.69,https://via.placeholder.com/300x300?text=No+Image
325,Veggie-Style Mini Corn Dogs,Quality veggie-style mini corn dogs - fresh grocery product,13.03,https://via.placeholder.com/300x300?text=No+Image
327,"Green Peas, Organic, Petite",Organic Petite Green Peas,1.03,https://via.placeholder.com/300x300?text=No+Image
344,Lime Sherbet,"Kroger, deluxe sherbet, lime",13.43,https://via.placeholder.com/300x300?text=No+Image
356,Ristorante Pizza Spinaci Thin Crust Pizza,Quality ristorante pizza spinaci thin crust pizza - fresh grocery product,10.95,https://via.placeholder.com/300x300?text=No+Image
358,Frozen All Butter Pound Cake,All Butter Pound Cake,10.65,https://images.openfoodfacts.org/images/products/003/210/003/4043/front_en.9.400.jpg
360,Whole Wheat Spanakopita,Quality whole wheat spanakopita - fresh grocery product,7.84,https://via.placeholder.com/300x300?text=No+Image
373,Honey Glazed Carrots,Honey & orange glazed carrots,14.09,https://images.openfoodfacts.org/images/products/000/000/050/8872/front_en.3.400.jpg
381,Toaster Pops Strawberry,Strawberry and Apple Fruit Filling (34%) in a Frosted Pastry.,7.68,https://images.openfoodfacts.org/images/products/505/932/000/0011/front_en.69.400.jpg
383,Breaded Chicken Breast Tenders,Lightly Breaded Chicken Breast Strips,7.03,https://images.openfoodfacts.org/images/products/085/003/616/8478/front_en.23.400.jpg
396,Cashews Natural Unsalted,anacardo natural.,14.74,https://images.openfoodfacts.org/images/products/848/000/023/3653/front_es.51.400.jpg
402,100% Pure Beef Homestyle Patties,Quality 100% pure beef homestyle patties - fresh grocery product,1.76,https://via.placeholder.com/300x300?text=No+Image
414,Gluten Free Chicken Rustica Pizza,Quality gluten free chicken rustica pizza - fresh grocery product,8.56,https://via.placeholder.com/300x300?text=No+Image
431,"Ice Cream, Cookies & Cream",Cookies & Cream 460 ml,9.62,https://images.openfoodfacts.org/images/products/341/558/115/2920/front_en.28.400.jpg
436,Petite Brussels Sprouts,Petite Brussels Sprouts,2.65,https://images.openfoodfacts.org/images/products/009/948/245/1578/front_en.16.400.jpg
480,Slow Churned Mint Chocolate Chip Ice Cream,Slow churned mint chocolate chip light ice cream,6.15,https://images.openfoodfacts.org/images/products/004/154/806/1863/front_en.10.400.jpg
489,Dough for Turnover Pastries,Discos Dough For Turnover Pastries,14.27,https://images.openfoodfacts.org/images/products/004/133/109/0605/front_en.6.400.jpg
497,Mascarpone Pistachio Caramel Gelato,Quality mascarpone pistachio caramel gelato - fresh grocery product,9.92,https://via.placeholder.com/300x300?text=No+Image
502,"Frozen Desserts, Fit, Salted Caramel",Salted caramel dipped in chocolate liqueur fit frozen desserts bars,9.21,https://via.placeholder.com/300x300?text=No+Image
518,Turkey Meatloaf & Mashed Potatoes,"Luvo, turkey meatloaf & mashed potatoes, brussels sprout, butternut squash & cranberries",10.52,https://via.placeholder.com/300x300?text=No+Image
533,Stuffed Pasta Shells,Stuffed Shells With Ricotta In Herb Marinara Sauce,11.5,https://images.openfoodfacts.org/images/products/007/841/112/1058/front_en.10.400.jpg
536,Belgian Waffles,Toasting waffle,2.3,https://images.openfoodfacts.org/images/products/070/046/177/5294/front_en.13.400.jpg
540,Beef Strips Portabella Complete Meals,Quality beef strips portabella complete meals - fresh grocery product,3.41,https://via.placeholder.com/300x300?text=No+Image
552,Organic Mango Peach Carrot Kickstart Smoothie,Quality organic mango peach carrot kickstart smoothie - fresh grocery product,14.76,https://via.placeholder.com/300x300?text=No+Image
568,Artisan Style Melts Quattro Formaggi Pizza,Quality artisan style melts quattro formaggi pizza - fresh grocery product,2.12,https://via.placeholder.com/300x300?text=No+Image
571,Thin & Crispy Crust Pepperoni Pizza,Crispy thin crust signature pepperoni frozen pizza,13.8,https://images.openfoodfacts.org/images/products/007/192/100/7799/front_en.12.400.jpg
582,Lite Whipped Topping,Lite whipped topping,6.65,https://via.placeholder.com/300x300?text=No+Image
591,Oreo Cookies and Cream Chocolate Frozen Dairy Dessert,Quality oreo cookies and cream chocolate frozen dairy dessert - fresh grocery product,1.64,https://via.placeholder.com/300x300?text=No+Image
602,Banana Chocolate Chip,Muesli bars with milk chocolate and banana chips,1.69,https://images.openfoodfacts.org/images/products/000/002/008/0662/front_bg.110.400.jpg
606,Salted Caramel Ice Cream,Salted Caramel Ice Cream,6.65,https://images.openfoodfacts.org/images/products/341/558/111/4928/front_en.3.400.jpg
610,Mac & Cheezy Ravioli For Kids,Quality mac & cheezy ravioli for kids - fresh grocery product,9.42,https://via.placeholder.com/300x300?text=No+Image
625,"Chicken Breast Nuggets, Dinosaur Shaped",Breaded whole grain dinosaur shaped nuggets chicken breast patties with rib meat,5.64,https://via.placeholder.com/300x300?text=No+Image
634,Organic California Blend,Almond Butter Blend Chocolate,4.85,https://images.openfoodfacts.org/images/products/085/106/500/7707/front_en.4.400.jpg
669,The Santa Cruz Burrito,The Santa Cruz Burrito,9.82,https://via.placeholder.com/300x300?text=No+Image
672,Double Berry Cheesecake,"Real ice cream, double berry cheesecake",4.18,https://via.placeholder.com/300x300?text=No+Image
688,Sausage Gravy & Biscuit,Biscuit Sausage Gravy,11.36,https://images.openfoodfacts.org/images/products/007/790/047/1506/front_en.5.400.jpg
720,Artisan Spiced Pecan Turtle Ice Cream,Quality artisan spiced pecan turtle ice cream - fresh grocery product,2.53,https://via.placeholder.com/300x300?text=No+Image
735,Four Cheese Pizza Frozen Sandwiches,Four meat and four cheese pizza sandwiches,4.56,https://images.openfoodfacts.org/images/products/004/369/505/1032/front_en.4.400.jpg
743,Pepperoni Party Pizza,Mini Pepperoni Pizzas,14.64,https://images.openfoodfacts.org/images/products/408/860/052/4344/front_en.3.400.jpg
758,No Sugar Added The Original Fudge Pops,The Original Fudge Pops - No Sugar Added; Naturally,5.7,https://images.openfoodfacts.org/images/products/007/756/713/3229/front_en.5.400.jpg
767,Organic Fiber Fruit Blend,Organic Fiber Fruit Blend,6.98,https://via.placeholder.com/300x300?text=No+Image
