order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,created_at,tracking_number,shipping_carrier,tracking_url
1257636,347,prior,1,2,14,,2016-09-18 07:23:00+00:00,695246954978,FedEx,https://www.fedex.com/apps/fedextrack/?tracknumbers=695246954978
2190644,347,prior,2,2,14,0.0,2016-09-18 07:23:00+00:00,9485419204167285099917,USPS,https://tools.usps.com/go/TrackConfirmAction?tLabels=9485419204167285099917
2064822,347,prior,3,3,10,1.0,2016-09-18 08:05:00+00:00,JD4617344800970985,DHL,https://www.dhl.com/en/express/tracking.html?AWB=JD4617344800970985
2770483,347,test,4,3,14,28.0,2016-09-19 17:19:00+00:00,JD1239877906209093,DHL,https://www.dhl.com/en/express/tracking.html?AWB=JD1239877906209093
1295855,688,prior,1,1,9,,2016-11-28 06:01:00+00:00,625871930581,FedEx,https://www.fedex.com/apps/fedextrack/?tracknumbers=625871930581
2647312,688,prior,2,1,10,28.0,2016-11-28 06:01:00+00:00,9415582063457394913143,USPS,https://tools.usps.com/go/TrackConfirmAction?tLabels=9415582063457394913143
113791,688,prior,3,4,10,17.0,2016-12-26 21:59:00+00:00,JD1908005730067356,DHL,https://www.dhl.com/en/express/tracking.html?AWB=JD1908005730067356
2295577,688,prior,4,4,9,7.0,2017-01-12 21:24:00+00:00,9472372614687173131601,USPS,https://tools.usps.com/go/TrackConfirmAction?tLabels=9472372614687173131601
1455569,688,prior,5,3,16,6.0,2017-01-19 20:40:00+00:00,9447880295003286759994,USPS,https://tools.usps.com/go/TrackConfirmAction?tLabels=9447880295003286759994
3056207,688,prior,6,2,13,6.0,2017-01-25 22:09:00+00:00,1Z7367935693556551,UPS,https://wwwapps.ups.com/WebTracking/track?track=yes&trackNums=1Z7367935693556551
3372199,688,prior,7,1,10,6.0,2017-01-31 21:55:00+00:00,1Z7848974956507667,UPS,https://wwwapps.ups.com/WebTracking/track?track=yes&trackNums=1Z7848974956507667
1711973,688,prior,8,1,10,0.0,2017-02-06 20:41:00+00:00,9438138675541672622539,USPS,https://tools.usps.com/go/TrackConfirmAction?tLabels=9438138675541672622539
3035766,688,prior,9,3,11,2.0,2017-02-06 17:49:00+00:00,668761583406,FedEx,https://www.fedex.com/apps/fedextrack/?tracknumbers=668761583406
1486131,688,prior,10,1,10,5.0,2017-02-08 23:05:00+00:00,686783847007,FedEx,https://www.fedex.com/apps/fedextrack/?tracknumbers=686783847007
941297,688,prior,11,4,12,3.0,2017-02-13 08:22:00+00:00,JD4695595222038432,DHL,https://www.dhl.com/en/express/tracking.html?AWB=JD4695595222038432
702768,688,prior,12,1,11,11.0,2017-02-16 18:14:00+00:00,9489191028983663277806,USPS,https://tools.usps.com/go/TrackConfirmAction?tLabels=9489191028983663277806
85077,688,prior,13,1,10,7.0,2017-02-27 19:45:00+00:00,1Z5418843553000196,UPS,https://wwwapps.ups.com/WebTracking/track?track=yes&trackNums=1Z5418843553000196
9068,688,prior,14,3,9,9.0,2017-03-06 20:47:00+00:00,9410063031467980465164,USPS,https://tools.usps.com/go/TrackConfirmAction?tLabels=9410063031467980465164
260782,688,prior,15,4,8,1.0,2017-03-15 20:54:00+00:00,675455605340,FedEx,https://www.fedex.com/apps/fedextrack/?tracknumbers=675455605340
3295873,688,prior,16,4,16,0.0,2017-03-16 17:25:00+00:00,9430722236210592549395,USPS,https://tools.usps.com/go/TrackConfirmAction?tLabels=9430722236210592549395
3049413,688,prior,17,5,11,1.0,2017-03-16 23:56:00+00:00,678234755885,FedEx,https://www.fedex.com/apps/fedextrack/?tracknumbers=678234755885
2442559,688,prior,18,1,10,17.0,2017-03-17 23:33:00+00:00,603892650496,FedEx,https://www.fedex.com/apps/fedextrack/?tracknumbers=603892650496
1075056,688,prior,19,2,9,1.0,2017-04-03 21:19:00+00:00,JD0293573998975766,DHL,https://www.dhl.com/en/express/tracking.html?AWB=JD0293573998975766
2860774,688,prior,20,3,17,1.0,2017-04-04 23:54:00+00:00,1Z7168077147168713,UPS,https://wwwapps.ups.com/WebTracking/track?track=yes&trackNums=1Z7168077147168713
2673688,688,prior,21,1,10,5.0,2017-04-05 20:22:00+00:00,9471659824150808232179,USPS,https://tools.usps.com/go/TrackConfirmAction?tLabels=9471659824150808232179
863171,688,prior,22,1,15,0.0,2017-04-10 22:12:00+00:00,679535102613,FedEx,https://www.fedex.com/apps/fedextrack/?tracknumbers=679535102613
714934,688,prior,23,3,10,2.0,2017-04-10 19:17:00+00:00,JD6398374143069798,DHL,https://www.dhl.com/en/express/tracking.html?AWB=JD6398374143069798
