order_id,status,changed_at
1257636,pending,2016-11-22 19:50:00+00:00
1257636,processing,2016-11-22 20:35:00+00:00
1257636,shipped,2016-11-24 05:52:00+00:00
1257636,delivered,2016-11-29 22:09:00+00:00
2190644,pending,2016-11-22 19:50:00+00:00
2190644,processing,2016-11-22 22:53:00+00:00
2190644,shipped,2016-11-23 17:32:00+00:00
2190644,delivered,2016-11-30 19:37:00+00:00
2064822,pending,2016-11-22 12:15:00+00:00
2064822,processing,2016-11-22 20:32:00+00:00
2064822,shipped,2016-11-23 17:14:00+00:00
2064822,delivered,2016-11-29 17:10:00+00:00
2770483,pending,2016-11-23 17:55:00+00:00
2770483,processing,2016-11-23 19:04:00+00:00
2770483,shipped,2016-11-24 23:49:00+00:00
2770483,delivered,2016-11-25 23:23:00+00:00
1295855,pending,2016-02-24 22:15:00+00:00
1295855,processing,2016-02-24 23:36:00+00:00
1295855,shipped,2016-02-26 18:37:00+00:00
1295855,delivered,2016-03-01 23:04:00+00:00
2647312,pending,2016-02-24 22:15:00+00:00
2647312,processing,2016-02-24 22:35:00+00:00
2647312,shipped,2016-02-24 23:35:00+00:00
2647312,delivered,2016-02-27 23:50:00+00:00
113791,pending,2016-03-23 20:01:00+00:00
113791,processing,2016-03-23 20:16:00+00:00
113791,shipped,2016-03-24 19:56:00+00:00
113791,delivered,2016-03-26 18:22:00+00:00
2295577,pending,2016-04-09 17:26:00+00:00
2295577,processing,2016-04-09 19:13:00+00:00
2295577,shipped,2016-04-10 14:28:00+00:00
2295577,delivered,2016-04-12 23:02:00+00:00
1455569,pending,2016-04-16 20:05:00+00:00
1455569,processing,2016-04-16 23:06:00+00:00
1455569,shipped,2016-04-18 12:34:00+00:00
1455569,delivered,2016-04-24 18:50:00+00:00
3056207,pending,2016-04-22 19:16:00+00:00
3056207,processing,2016-04-22 22:45:00+00:00
3056207,shipped,2016-04-23 07:01:00+00:00
3056207,delivered,2016-04-27 22:23:00+00:00
3372199,pending,2016-04-28 23:00:00+00:00
3372199,processing,2016-04-28 23:25:00+00:00
3372199,shipped,2016-04-29 20:12:00+00:00
3372199,delivered,2016-05-01 23:22:00+00:00
1711973,pending,2016-05-04 06:52:00+00:00
1711973,processing,2016-05-04 18:55:00+00:00
1711973,shipped,2016-05-05 19:28:00+00:00
1711973,delivered,2016-05-08 10:46:00+00:00
3035766,pending,2016-05-04 17:22:00+00:00
3035766,processing,2016-05-04 21:33:00+00:00
3035766,shipped,2016-05-06 21:24:00+00:00
3035766,delivered,2016-05-11 19:21:00+00:00
1486131,pending,2016-05-06 18:20:00+00:00
1486131,processing,2016-05-06 18:52:00+00:00
1486131,shipped,2016-05-07 19:52:00+00:00
1486131,delivered,2016-05-13 20:59:00+00:00
941297,pending,2016-05-11 08:37:00+00:00
941297,processing,2016-05-11 23:00:00+00:00
941297,shipped,2016-05-13 19:01:00+00:00
941297,delivered,2016-05-17 20:55:00+00:00
702768,pending,2016-05-14 17:36:00+00:00
702768,processing,2016-05-14 19:50:00+00:00
702768,shipped,2016-05-15 19:31:00+00:00
702768,delivered,2016-05-22 22:06:00+00:00
85077,pending,2016-05-25 20:53:00+00:00
85077,processing,2016-05-25 21:40:00+00:00
85077,shipped,2016-05-27 05:12:00+00:00
85077,delivered,2016-06-03 20:50:00+00:00
9068,pending,2016-06-01 01:35:00+00:00
9068,processing,2016-06-01 18:56:00+00:00
9068,shipped,2016-06-02 19:07:00+00:00
9068,delivered,2016-06-06 15:19:00+00:00
260782,pending,2016-06-10 10:29:00+00:00
260782,processing,2016-06-10 20:27:00+00:00
260782,shipped,2016-06-11 22:37:00+00:00
260782,delivered,2016-06-14 23:14:00+00:00
3295873,pending,2016-06-11 23:28:00+00:00
3295873,processing,2016-06-11 23:39:00+00:00
3295873,shipped,2016-06-12 19:18:00+00:00
3295873,delivered,2016-06-19 15:02:00+00:00
3049413,pending,2016-06-11 19:52:00+00:00
3049413,processing,2016-06-11 20:08:00+00:00
3049413,shipped,2016-06-11 21:38:00+00:00
3049413,delivered,2016-06-12 17:37:00+00:00
2442559,pending,2016-06-12 13:21:00+00:00
2442559,processing,2016-06-12 14:13:00+00:00
2442559,shipped,2016-06-13 23:58:00+00:00
2442559,delivered,2016-06-19 18:34:00+00:00
1075056,pending,2016-06-29 07:18:00+00:00
1075056,processing,2016-06-29 17:16:00+00:00
1075056,shipped,2016-06-30 08:38:00+00:00
1075056,delivered,2016-07-03 22:27:00+00:00
1075056,return_requested,2016-07-14 12:16:00+00:00
1075056,returned,2016-07-21 21:07:00+00:00
1075056,refunded,2016-07-26 16:21:00+00:00
2860774,pending,2016-06-30 21:02:00+00:00
2860774,processing,2016-06-30 23:12:00+00:00
2860774,shipped,2016-07-01 18:55:00+00:00
2860774,delivered,2016-07-04 19:42:00+00:00
2673688,pending,2016-07-01 23:43:00+00:00
2673688,processing,2016-07-02 18:02:00+00:00
2673688,shipped,2016-07-03 14:19:00+00:00
2673688,delivered,2016-07-06 23:57:00+00:00
863171,pending,2016-07-06 18:54:00+00:00
863171,processing,2016-07-06 20:04:00+00:00
863171,shipped,2016-07-07 20:34:00+00:00
863171,delivered,2016-07-09 01:05:00+00:00
714934,pending,2016-07-06 21:31:00+00:00
714934,processing,2016-07-06 22:28:00+00:00
714934,shipped,2016-07-08 18:17:00+00:00
714934,delivered,2016-07-09 22:27:00+00:00
714934,refunded,2016-07-09 23:40:00+00:00
2468802,pending,2016-07-08 18:36:00+00:00
2468802,processing,2016-07-08 19:59:00+00:00
2468802,shipped,2016-07-09 15:55:00+00:00
2468802,delivered,2016-07-13 23:55:00+00:00
1614386,pending,2016-07-16 18:49:00+00:00
1614386,processing,2016-07-16 19:12:00+00:00
1614386,shipped,2016-07-18 19:47:00+00:00
1614386,delivered,2016-07-25 23:59:00+00:00
1351448,pending,2016-07-28 22:07:00+00:00
1351448,processing,2016-07-28 22:20:00+00:00
1351448,failed,2016-07-28 23:44:00+00:00
2777965,pending,2016-07-30 07:12:00+00:00
2777965,processing,2016-07-30 21:21:00+00:00
2777965,shipped,2016-07-31 08:44:00+00:00
2777965,delivered,2016-08-03 23:20:00+00:00
2777965,refunded,2016-08-07 21:48:00+00:00
2666829,pending,2016-08-03 23:11:00+00:00
2666829,processing,2016-08-04 00:08:00+00:00
2666829,shipped,2016-08-04 07:23:00+00:00
2666829,delivered,2016-08-07 20:56:00+00:00
2546667,pending,2016-08-11 19:01:00+00:00
2546667,processing,2016-08-11 23:39:00+00:00
2546667,shipped,2016-08-13 21:55:00+00:00
2546667,delivered,2016-08-14 19:01:00+00:00
2546667,return_requested,2016-08-28 17:04:00+00:00
2546667,returned,2016-08-29 20:25:00+00:00
2546667,refunded,2016-08-29 20:56:00+00:00
