product_id,product_name,description,price,image_url
49,Vegetarian Grain Meat Sausages Italian - 4 CT,Quality vegetarian grain meat sausages italian - 4 ct - fresh grocery product,3.54,https://via.placeholder.com/300x300?text=No+Image
62,Premium Deli Oven Roasted Turkey Breast,Oven Roasted Premium Deli Turkey Breast,11.07,https://via.placeholder.com/300x300?text=No+Image
74,Artisan Chick'n & Apple Sausage,Quality artisan chick'n & apple sausage - fresh grocery product,2.83,https://via.placeholder.com/300x300?text=No+Image
85,Soppressata Piccante,Soppressata piccante,8.2,https://via.placeholder.com/300x300?text=No+Image
109,Grape Leaf Hummus Wrap,Quality grape leaf hummus wrap - fresh grocery product,2.45,https://via.placeholder.com/300x300?text=No+Image
138,Olli Napoli Salami,Quality olli napoli salami - fresh grocery product,14.59,https://via.placeholder.com/300x300?text=No+Image
147,Organic Ranch Veggie Dip,"Organic ranch! veggie dip, ranch",5.13,https://via.placeholder.com/300x300?text=No+Image
158,Smoked Ham & Oven Roasted Turkey Sub Sandwich Kit,"Smoked ham & water product 40% of weight is added ingredients a portion of ground ham added: ham cured with water, dextrose, salt. less than 2% of sodium phosphates, modified corn starch, flavorings, ",2.62,https://via.placeholder.com/300x300?text=No+Image
176,Original Turkey,Original seasoned grilled turkey burger,4.06,https://images.openfoodfacts.org/images/products/002/265/572/3981/front_en.35.400.jpg
188,Mild El Nino Salsa,Quality mild el nino salsa - fresh grocery product,14.12,https://via.placeholder.com/300x300?text=No+Image
198,Tzatziki Cucumber Sauce,Tzatziki Creamy Garlic Cucumber Dip,3.48,https://images.openfoodfacts.org/images/products/000/000/020/4057/front_en.32.400.jpg
209,Italian Pasta Salad,Lunch on the Go Italian Style Tuna Salad,11.32,https://images.openfoodfacts.org/images/products/500/017/105/4449/front_en.6.400.jpg
287,Turkey,Haselnusskerne geröstet,8.72,https://images.openfoodfacts.org/images/products/405/648/903/3042/front_en.74.400.jpg
353,Tzatziki Greek Yogurt Dip,Tzatziki Greek Style Yogurt Dip,12.16,https://images.openfoodfacts.org/images/products/076/818/300/0469/front_en.30.400.jpg
359,Deli Thin-Sliced Honey Ham,Quality deli thin-sliced honey ham - fresh grocery product,3.85,https://via.placeholder.com/300x300?text=No+Image
374,Sliced Kosher Salami,Sliced kosher salami made with chicken & beef,14.53,https://via.placeholder.com/300x300?text=No+Image
403,Ultra Thin Pastrami,HLLSHIRE FARM PASTRAMI ULTRA THIN,4.9,https://images.openfoodfacts.org/images/products/004/450/098/4705/front_en.7.400.jpg
