order_id,product_id,add_to_cart_order,reordered
122,17794,1,0
122,18644,2,0
192,5876,1,1
192,49476,2,1
192,9598,3,1
192,18224,4,1
192,36082,5,1
192,8174,6,0
192,12456,7,0
192,15700,8,0
192,18413,9,1
192,19240,10,0
192,29117,11,0
192,43295,12,1
192,47253,13,0
192,5677,14,0
192,33527,15,0
1396,5161,1,1
1396,8186,2,1
1396,47049,3,1
1396,42345,4,1
1396,24838,5,1
1396,2163,6,0
1396,39427,7,1
1396,21137,8,1
1396,22827,9,1
1407,3856,1,1
1407,5077,2,1
1407,4687,3,1
1407,33552,4,0
1407,30320,5,0
1407,25544,6,0
1407,4390,7,0
1409,27845,1,1
1409,11481,2,1
1409,45007,3,1
1409,44683,4,1
1409,5161,5,1
2446,47766,1,1
2446,46106,2,1
2446,9430,3,1
2446,17791,4,1
2446,26209,5,1
2446,47144,6,1
2446,17794,7,1
2446,25890,8,1
2446,38662,9,1
2446,14161,10,1
2446,21955,11,1
2446,40173,12,1
2598,39657,1,1
2758,42557,1,0
2758,49683,2,1
2758,19660,3,1
2758,6651,4,1
2758,432,5,1
2758,12144,6,1
2781,30489,1,0
2781,14467,2,0
2781,24852,3,0
2781,44233,4,0
2781,11422,5,0
2781,4605,6,0
2781,28918,7,0
2781,20788,8,0
2781,45066,9,0
2881,21050,1,1
2881,7538,2,1
2881,28836,3,1
2881,23285,4,1
2881,49610,5,1
2881,11367,6,1
2881,24954,7,0
2881,34434,8,0
2881,11185,9,0
2881,48190,10,0
3170,1463,1,1
3170,19660,2,1
3170,18465,3,1
3170,49665,4,0
3170,3917,5,0
3170,7781,6,1
3170,43005,7,0
3923,13176,1,1
3923,21903,2,1
3923,42633,3,0
3923,46900,4,0
3923,31555,5,0
3923,34124,6,0
3923,19612,7,0
3923,46082,8,0
3923,19248,9,0
3923,42110,10,0
3923,38622,11,0
3923,30953,12,0
3923,1175,13,0
3923,3376,14,1
3923,27156,15,1
3923,42768,16,1
3923,30391,17,1
3923,11140,18,1
3923,6046,19,1
3923,48171,20,1
3923,47740,21,0
3923,26384,22,1
3923,46979,23,1
3923,365,24,1
3923,27845,25,1
3923,32747,26,1
3923,35951,27,1
3923,27521,28,1
3923,30450,29,1
3923,42585,30,1
3923,34590,31,1
3923,13380,32,1
3975,7862,1,1
3975,8571,2,0
3975,17122,3,0
3975,27796,4,0
3975,20940,5,1
3975,34343,6,1
3975,39922,7,1
3975,890,8,0
4257,34854,1,1
4257,41929,2,1
4257,39791,3,1
4257,40376,4,1
4257,13077,5,1
4257,19604,6,1
4257,31701,7,1
4257,41751,8,1
4385,19348,1,1
