order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1257636,347,prior,1,2,14,
2190644,347,prior,2,2,14,0.0
2064822,347,prior,3,3,10,1.0
2770483,347,test,4,3,14,28.0
1295855,688,prior,1,1,9,
2647312,688,prior,2,1,10,28.0
113791,688,prior,3,4,10,17.0
2295577,688,prior,4,4,9,7.0
1455569,688,prior,5,3,16,6.0
3056207,688,prior,6,2,13,6.0
3372199,688,prior,7,1,10,6.0
1711973,688,prior,8,1,10,0.0
3035766,688,prior,9,3,11,2.0
1486131,688,prior,10,1,10,5.0
941297,688,prior,11,4,12,3.0
702768,688,prior,12,1,11,11.0
85077,688,prior,13,1,10,7.0
9068,688,prior,14,3,9,9.0
260782,688,prior,15,4,8,1.0
3295873,688,prior,16,4,16,0.0
3049413,688,prior,17,5,11,1.0
2442559,688,prior,18,1,10,17.0
1075056,688,prior,19,2,9,1.0
2860774,688,prior,20,3,17,1.0
2673688,688,prior,21,1,10,5.0
863171,688,prior,22,1,15,0.0
714934,688,prior,23,3,10,2.0
2468802,688,prior,24,4,11,8.0
1614386,688,prior,25,2,10,12.0
1351448,688,prior,26,4,11,2.0
2777965,688,prior,27,1,9,4.0
2666829,688,prior,28,2,10,8.0
2546667,688,prior,29,2,12,0.0
1478942,688,prior,30,4,10,2.0
120029,688,prior,31,1,10,4.0
2849481,688,prior,32,1,10,0.0
1710904,688,prior,33,2,12,1.0
773463,688,prior,34,3,10,1.0
3006366,688,prior,35,1,9,5.0
1595809,688,prior,36,2,10,1.0
2605389,688,prior,37,1,9,6.0
2065978,688,prior,38,3,13,2.0
723960,688,prior,39,1,9,5.0
2552294,688,prior,40,4,11,3.0
612357,688,prior,41,4,18,0.0
1725298,688,prior,42,4,8,7.0
2617488,688,prior,43,4,11,0.0
948787,688,prior,44,1,9,4.0
874943,688,prior,45,5,8,4.0
353496,688,prior,46,1,9,3.0
2683555,688,prior,47,4,14,3.0
321098,688,prior,48,1,13,4.0
1688642,688,prior,49,3,9,2.0
1878840,688,prior,50,1,9,5.0
2437399,688,prior,51,2,10,1.0
968607,688,prior,52,3,8,1.0
2865173,688,prior,53,3,13,0.0
2305683,688,prior,54,1,8,5.0
